Date,Hour,Value,MonthBlock,IsCancelled,IsPrivate
2025-06-30,09:00:00,WBD,6,0,0
2025-06-01,10:00:00,EK,6,0,0
2025-06-02,10:00:00,PRIVATE,6,0,1
2025-06-03,10:00:00,PRIVATE,6,0,1
2025-06-04,10:00:00,CANCELLED,6,1,0
2025-06-05,10:00:00,CANCELLED,6,1,0
2025-06-06,10:00:00,CANCELLED,6,1,0
2025-06-07,10:00:00,PRIVATE,6,0,1
2025-06-08,10:00:00,H,6,0,0
2025-06-09,10:00:00,H,6,0,0
2025-06-09,10:00:00,WBD,6,0,0
2025-06-10,10:00:00,H,6,0,0
2025-06-11,10:00:00,CANCELLED,6,1,0
2025-06-12,10:00:00,H,6,0,0
2025-06-13,10:00:00,H,6,0,0
2025-06-14,10:00:00,M,6,0,0
2025-06-14,10:00:00,H,6,0,0
2025-06-15,10:00:00,H,6,0,0
2025-06-15,10:00:00,WBD,6,0,0
2025-06-15,10:00:00,P,6,0,0
2025-06-16,10:00:00,H!,6,0,0
2025-06-16,10:00:00,H,6,0,0
2025-06-17,10:00:00,H,6,0,0
2025-06-18,10:00:00,PRIVATE,6,0,1
2025-06-19,10:00:00,PRIVATE,6,0,1
2025-06-20,10:00:00,H,6,0,0
2025-06-20,10:00:00,WBD,6,0,0
2025-06-21,10:00:00,H,6,0,0
2025-06-22,10:00:00,H,6,0,0
2025-06-22,10:00:00,WBD,6,0,0
2025-06-22,10:00:00,M,6,0,0
2025-06-23,10:00:00,PRIVATE,6,0,1
2025-06-24,10:00:00,H,6,0,0
2025-06-24,10:00:00,WBD,6,0,0
2025-06-25,10:00:00,H,6,0,0
2025-06-26,10:00:00,PRIVATE,6,0,1
2025-06-27,10:00:00,H,6,0,0
2025-06-28,10:00:00,H,6,0,0
2025-06-29,10:00:00,H,6,0,0
2025-06-29,10:00:00,WBD,6,0,0
2025-06-30,10:00:00,PRIVATE,6,0,1
2025-06-01,13:00:00,PRIVATE,6,0,1
2025-06-02,13:00:00,CANCELLED,6,1,0
2025-06-03,13:00:00,CANCELLED,6,1,0
2025-06-04,13:00:00,CANCELLED,6,1,0
2025-06-05,13:00:00,H,6,0,0
2025-06-06,13:00:00,EK,6,0,0
2025-06-07,13:00:00,H,6,0,0
2025-06-07,13:00:00,M,6,0,0
2025-06-07,13:00:00,WBD,6,0,0
2025-06-08,13:00:00,H,6,0,0
2025-06-09,13:00:00,H,6,0,0
2025-06-10,13:00:00,H,6,0,0
